account;posts;likes_count;location;type;description;hashatags;date
fariza2912;https://www.instagram.com/p/CHQYUBdBGAxG21RsrQTgPNUSii1JeYNSg4biSI0/;94;;photo;;;NOVEMBER-6-2020
fariza2912;https://www.instagram.com/p/CHI01mFBvWjc7t0Zslpe0-jNmPLZhBQGMCfJQM0/;102;;photo;;;NOVEMBER-4-2020
fariza2912;https://www.instagram.com/p/CDjdgJMBl55D5Gx6kRq-NmI9iwqlo5_scthShY0/;92;;photo;Hi;;AUGUST-6-2020
fariza2912;https://www.instagram.com/p/B9bfTK_hKzWIk7e8LjoacygGKHqY6nklkLJG900/;119;Kaspi Bank (Head Office);photo;;;MARCH-7-2020
fariza2912;https://www.instagram.com/p/B6lkUZfhUWgZ5JqUIrCR0gx_PeJKVC1ZduIy1c0/;125;;photo;;;DECEMBER-28-2019
fariza2912;https://www.instagram.com/p/B49CNFbAJqJF-Rnbp1eNenkexGguT6xaYgi0i00/;109;;photo;Be loved;;NOVEMBER-17-2019
fariza2912;https://www.instagram.com/p/B0AQ7DhBGzdLwfD-BoV99vClHNztofWRXJ0qqU0/;116;Suleyman Demirel University;photo;IT Bachelor’s degree✅;;JULY-17-2019
fariza2912;https://www.instagram.com/p/BzlN520hWFlyYoNfQX5mxYUz_n4GiW4x_wdV_g0/;121;;photo;Всегда улыбайтесь и излучайте добро🥰🌙;;JULY-6-2019
fariza2912;https://www.instagram.com/p/BzBCcIhh5QLF043mdPY_glPnoX1O5afOjw7n8s0/;143;Suleyman Demirel University;photo;Ещё один красный диплом в копилку😍❤️✅#sdugraduation2019;;JUNE-22-2019
fariza2912;https://www.instagram.com/p/ByuIlZUB6uVm7jeniGZMBQ7B-CwGBBlejIJ4wM0/;111;;photo;💐💞;;JUNE-15-2019
fariza2912;https://www.instagram.com/p/BqAdc6sFiMaCUYaZIEM9xzkMT1-_neiGPZ6feg0/;155;;photo;;;NOVEMBER-10-2018
fariza2912;https://www.instagram.com/p/BmgC4NUHYNfaKPxB5fz5M2B1Lz5x65nJvnkcS00/;140;"Жилой комплекс ""Шахристан""";photo;;;AUGUST-15-2018
fariza2912;https://www.instagram.com/p/Bb9oZ85HSv8Gs_XUTtapNuVWejbXQO9eqkWX6Y0/;186;;photo;;;NOVEMBER-26-2017
fariza2912;https://www.instagram.com/p/BWsVpSChdRwJKpq8fdplVKp4EsQHJQTf1sQmnE0/;173;;photo;;;JULY-18-2017
fariza2912;https://www.instagram.com/p/3V2YW0ndNunOGIG0GKzk69GZTFALMexr1VkcQ0/;281;;photo;;;MAY-31-2015
kud_adi;https://www.instagram.com/p/CErOtLXnZZE/;98;;photo;Fantasy world in Ekibastuz;;SEPTEMBER-3-2020
